"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri May 20 06:04:10 GMT 2022","Fri May 20 06:04:13 GMT 2022","3297","Scenarios Automation Suite","userJourneysSanity","Login_To_PlaceOrderUsingWalletJourney","Login_To_PlaceOrderUsingWalletJourney","loginToPlaceOrderJourney","Login to Place Order Using Wallet Journey",""
"broken","Fri May 20 06:04:16 GMT 2022","Fri May 20 06:04:19 GMT 2022","3309","Scenarios Automation Suite","userJourneysSanity","Login_To_PlaceOrderUsingNetBanking","Login_To_PlaceOrderUsingNetBanking","loginToPlaceOrderJourney","Login to Place Order Using Net Banking Journey",""
"broken","Fri May 20 06:03:54 GMT 2022","Fri May 20 06:03:57 GMT 2022","3283","Scenarios Automation Suite","userJourneysSanity","Login_To_PlaceOrderUsingBankDepositJourney","Login_To_PlaceOrderUsingBankDepositJourney","loginToPlaceOrderJourney","Login to Place Order Using Bank Deposit Journey",""
"broken","Fri May 20 06:04:02 GMT 2022","Fri May 20 06:04:06 GMT 2022","3304","Scenarios Automation Suite","userJourneysSanity","Login_To_PlaceOrderUsingPayOnDeliveryJourney","Login_To_PlaceOrderUsingPayOnDeliveryJourney","loginToPlaceOrderJourney","Login to Place Order Using Pay On Delivery Journey",""
