"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu May 19 18:56:21 GMT 2022","Thu May 19 18:56:21 GMT 2022","5","Scenarios Automation Suite","userJourneysSanity","Login_To_PlaceOrderUsingPayOnDeliveryJourney","Login_To_PlaceOrderUsingPayOnDeliveryJourney","loginToPlaceOrderJourney","Login to Place Order Using Pay On Delivery Journey",""
"broken","Thu May 19 18:56:21 GMT 2022","Thu May 19 18:56:21 GMT 2022","1","Scenarios Automation Suite","userJourneysSanity","Login_To_PlaceOrderUsingNetBanking","Login_To_PlaceOrderUsingNetBanking","setUp","setUp",""
"broken","Thu May 19 18:56:20 GMT 2022","Thu May 19 18:56:20 GMT 2022","2","Scenarios Automation Suite","userJourneysSanity","Login_To_PlaceOrderUsingBankDepositJourney","Login_To_PlaceOrderUsingBankDepositJourney","setUp","setUp",""
"broken","Thu May 19 18:56:21 GMT 2022","Thu May 19 18:56:21 GMT 2022","1","Scenarios Automation Suite","userJourneysSanity","Login_To_PlaceOrderUsingPayOnDeliveryJourney","Login_To_PlaceOrderUsingPayOnDeliveryJourney","setUp","setUp",""
"skipped","Thu May 19 18:56:21 GMT 2022","Thu May 19 18:56:21 GMT 2022","0","Scenarios Automation Suite","userJourneysSanity","Login_To_PlaceOrderUsingWalletJourney","Login_To_PlaceOrderUsingWalletJourney","loginToPlaceOrderJourney","Login to Place Order Using Wallet Journey",""
"skipped","Thu May 19 18:56:21 GMT 2022","Thu May 19 18:56:21 GMT 2022","1","Scenarios Automation Suite","userJourneysSanity","Login_To_PlaceOrderUsingNetBanking","Login_To_PlaceOrderUsingNetBanking","loginToPlaceOrderJourney","Login to Place Order Using Net Banking Journey",""
"broken","Thu May 19 18:56:21 GMT 2022","Thu May 19 18:56:21 GMT 2022","0","Scenarios Automation Suite","userJourneysSanity","Login_To_PlaceOrderUsingWalletJourney","Login_To_PlaceOrderUsingWalletJourney","setUp","setUp",""
"skipped","Thu May 19 18:56:20 GMT 2022","Thu May 19 18:56:20 GMT 2022","2","Scenarios Automation Suite","userJourneysSanity","Login_To_PlaceOrderUsingBankDepositJourney","Login_To_PlaceOrderUsingBankDepositJourney","loginToPlaceOrderJourney","Login to Place Order Using Bank Deposit Journey",""
