"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri May 20 05:22:38 GMT 2022","Fri May 20 05:22:38 GMT 2022","1","Scenarios Automation Suite","userJourneysSanity","Login_To_PlaceOrderUsingNetBanking","Login_To_PlaceOrderUsingNetBanking","setUp","setUp",""
"skipped","Fri May 20 05:22:38 GMT 2022","Fri May 20 05:22:38 GMT 2022","0","Scenarios Automation Suite","userJourneysSanity","Login_To_PlaceOrderUsingNetBanking","Login_To_PlaceOrderUsingNetBanking","loginToPlaceOrderJourney","Login to Place Order Using Net Banking Journey",""
"skipped","Fri May 20 05:22:37 GMT 2022","Fri May 20 05:22:37 GMT 2022","0","Scenarios Automation Suite","userJourneysSanity","Login_To_PlaceOrderUsingPayOnDeliveryJourney","Login_To_PlaceOrderUsingPayOnDeliveryJourney","loginToPlaceOrderJourney","Login to Place Order Using Pay On Delivery Journey",""
"broken","Fri May 20 05:22:37 GMT 2022","Fri May 20 05:22:37 GMT 2022","3","Scenarios Automation Suite","userJourneysSanity","Login_To_PlaceOrderUsingPayOnDeliveryJourney","Login_To_PlaceOrderUsingPayOnDeliveryJourney","setUp","setUp",""
"broken","Fri May 20 05:22:37 GMT 2022","Fri May 20 05:22:37 GMT 2022","0","Scenarios Automation Suite","userJourneysSanity","Login_To_PlaceOrderUsingWalletJourney","Login_To_PlaceOrderUsingWalletJourney","setUp","setUp",""
"broken","Fri May 20 05:22:37 GMT 2022","Fri May 20 05:22:37 GMT 2022","14","Scenarios Automation Suite","userJourneysSanity","Login_To_PlaceOrderUsingBankDepositJourney","Login_To_PlaceOrderUsingBankDepositJourney","setUp","setUp",""
"skipped","Fri May 20 05:22:37 GMT 2022","Fri May 20 05:22:37 GMT 2022","2","Scenarios Automation Suite","userJourneysSanity","Login_To_PlaceOrderUsingBankDepositJourney","Login_To_PlaceOrderUsingBankDepositJourney","loginToPlaceOrderJourney","Login to Place Order Using Bank Deposit Journey",""
"skipped","Fri May 20 05:22:37 GMT 2022","Fri May 20 05:22:37 GMT 2022","1","Scenarios Automation Suite","userJourneysSanity","Login_To_PlaceOrderUsingWalletJourney","Login_To_PlaceOrderUsingWalletJourney","loginToPlaceOrderJourney","Login to Place Order Using Wallet Journey",""
