"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 20 07:40:46 GMT 2022","Fri May 20 07:43:07 GMT 2022","140706","Scenarios Automation Suite","userJourneysSanity","Login_To_PlaceOrderUsingNetBanking","Login_To_PlaceOrderUsingNetBanking","loginToPlaceOrderJourney","Login to Place Order Using Net Banking Journey",""
"broken","Fri May 20 07:38:15 GMT 2022","Fri May 20 07:40:41 GMT 2022","145715","Scenarios Automation Suite","userJourneysSanity","Login_To_PlaceOrderUsingWalletJourney","Login_To_PlaceOrderUsingWalletJourney","loginToPlaceOrderJourney","Login to Place Order Using Wallet Journey",""
"passed","Fri May 20 07:33:59 GMT 2022","Fri May 20 07:36:02 GMT 2022","123228","Scenarios Automation Suite","userJourneysSanity","Login_To_PlaceOrderUsingBankDepositJourney","Login_To_PlaceOrderUsingBankDepositJourney","loginToPlaceOrderJourney","Login to Place Order Using Bank Deposit Journey",""
"passed","Fri May 20 07:36:08 GMT 2022","Fri May 20 07:38:10 GMT 2022","122372","Scenarios Automation Suite","userJourneysSanity","Login_To_PlaceOrderUsingPayOnDeliveryJourney","Login_To_PlaceOrderUsingPayOnDeliveryJourney","loginToPlaceOrderJourney","Login to Place Order Using Pay On Delivery Journey",""
